Number,Date,Price,Amount,15DayAverage,31DayAverage,Trend,predictionValues
84,10/12/2015,12.993,1500,13.681266666666666,13.037387096774193,14.014611615939046,0
85,11/12/2015,13.359,1623,13.597800000000001,12.996967741935482,13.949050454345143,0
86,12/12/2015,13.618,1837,13.466733333333332,12.966870967741935,13.915945408910629,0
87,13/12/2015,13.394,1561,13.298266666666667,12.943290322580646,13.863750868019565,0
88,14/12/2015,13.103,1297,13.099866666666665,12.887774193548388,13.787675781217608,0
89,15/12/2015,13.15,1289,12.904866666666667,12.836258064516128,13.723908203095847,0
90,16/12/2015,13.145,1144,12.614600000000001,12.787096774193552,13.666017382786263,0
91,17/12/2015,12.778,1141,12.455533333333333,12.71687096774194,13.577215644507636,0
92,18/12/2015,12.627,1478,12.438600000000003,12.611645161290326,13.482194080056873,0
93,19/12/2015,12.48,1462,12.411533333333333,12.474838709677423,13.381974672051186,0
94,20/12/2015,12.025,1422,12.324000000000002,12.316806451612903,13.246277204846068,0
95,21/12/2015,11.731,1379,12.257066666666667,12.186741935483871,13.094749484361461,0
96,22/12/2015,11.608,1481,12.157266666666667,12.057709677419355,12.946074535925316,0
97,23/12/2015,10.207,1971,12.023133333333332,11.932935483870965,12.672167082332784,0
98,24/12/2015,10.615,2070,11.865200000000003,11.810129032258066,12.466450374099507,0
99,25/12/2015,12.739,2259,11.707066666666668,11.737967741935485,12.493705336689558,0
100,26/12/2015,12.953,2103,11.540999999999999,11.660548387096775,12.539634803020604,0
101,27/12/2015,12.305,1837,11.351533333333334,11.575967741935486,12.516171322718545,0
102,28/12/2015,12.39,1611,11.186333333333334,11.477741935483872,12.503554190446692,0
103,29/12/2015,11.606,1731,11.1056,11.387032258064515,12.413798771402025,0
104,30/12/2015,11.138,1672,11.045533333333333,11.293516129032255,12.286218894261822,0
105,31/12/2015,10.776,1555,11.076066666666668,11.201935483870967,12.135197004835641,0
106,01/1/2016,10.406,1748,11.085333333333331,11.120387096774195,11.962277304352076,0
107,02/1/2016,10.136,1899,10.953666666666667,11.039354838709679,11.779649573916869,0
108,03/1/2016,9.638,1672,10.796333333333333,10.962903225806452,11.565484616525183,0
109,04/1/2016,9.547,1750,10.6918,10.890322580645163,11.363636154872665,0
110,05/1/2016,10.52,1542,10.570666666666666,10.83167741935484,11.2792725393854,0
111,06/1/2016,10.707,1426,10.502399999999998,10.778645161290322,11.22204528544686,0
112,07/1/2016,10.665,1389,10.440133333333334,10.739548387096775,11.166340756902175,0
113,08/1/2016,10.754,1528,10.409133333333333,10.734967741935483,11.125106681211957,0
114,09/1/2016,10.764,1708,10.423200000000001,10.716516129032257,11.08899601309076,0
115,10/1/2016,10.593,1426,10.431866666666663,10.631548387096773,11.039396411781684,0
116,11/1/2016,10.737,1184,10.473133333333333,10.53841935483871,11.009156770603516,0
117,12/1/2016,10.573,1197,10.518666666666668,10.465161290322579,10.965541093543164,0
118,13/1/2016,10.582,1050,10.497800000000002,10.372032258064513,10.927186984188847,0
119,14/1/2016,10.204,1175,10.456466666666667,10.300548387096773,10.854868285769962,0
120,15/1/2016,10.311,1469,10.438533333333334,10.255870967741934,10.800481457192966,0
121,16/1/2016,10.617,1598,10.392599999999998,10.219322580645159,10.78213331147367,0
122,17/1/2016,10.266,1418,10.344533333333334,10.197000000000001,10.730519980326303,0
123,18/1/2016,10.257,1290,10.312000000000001,10.180870967741935,10.683167982293673,0
124,19/1/2016,10.23,1141,10.267266666666666,10.179903225806452,10.637851184064306,0
125,20/1/2016,10.207,1081,10.231333333333332,10.180967741935483,10.594766065657875,0
126,21/1/2016,10.087,1134,10.159400000000002,10.15064516129032,10.543989459092087,0
127,22/1/2016,10.396,1329,10.105133333333336,10.089225806451616,10.52919051318288,0
128,23/1/2016,10.065,1659,10.067933333333334,10.01651612903226,10.48277146186459,0
129,24/1/2016,10.043,1383,10.003000000000002,9.944258064516132,10.438794315678132,0
130,25/1/2016,10.105,1260,9.966199999999999,9.872000000000003,10.40541488411032,0
131,26/1/2016,10.066,1170,9.9248,9.807129032258064,10.371473395699288,0
132,27/1/2016,10.034,1235,9.883333333333333,9.737129032258064,10.337726056129359,0
133,28/1/2016,9.503,1299,9.841533333333333,9.673064516129031,10.254253450516424,0
134,29/1/2016,9.39,1627,9.807733333333333,9.636903225806451,10.167828105464782,0
135,30/1/2016,9.753,1669,9.701533333333336,9.613387096774193,10.126345294918305,0
136,31/1/2016,9.643,1490,9.591266666666666,9.597483870967743,10.078010765426475,0
137,01/2/2016,9.714,1331,9.489333333333333,9.568096774193547,10.041609688883828,0
138,02/2/2016,9.636,1216,9.383933333333333,9.547419354838711,10.001048719995445,0
139,03/2/2016,9.608,1184,9.285,9.466354838709679,9.961743847995901,0
140,04/2/2016,9.58,1192,9.1872,9.41516129032258,9.923569463196312,0
141,05/2/2016,9.58,1386,9.126133333333334,9.374709677419352,9.88921251687668,0
142,06/2/2016,8.803,1830,9.130866666666668,9.33783870967742,9.780591265189013,0
143,07/2/2016,8.411,1603,9.112333333333334,9.288193548387097,9.643632138670114,0
144,08/2/2016,8.514,1281,9.124,9.256516129032258,9.530668924803102,0
145,09/2/2016,8.524,1280,9.123466666666666,9.222774193548387,9.430002032322792,0
146,10/2/2016,8.582,1207,9.122733333333334,9.188129032258065,9.345201829090513,0
147,11/2/2016,8.567,1277,8.998466666666667,9.153354838709678,9.267381646181462,0
148,12/2/2016,8.587,1502,8.936,9.127967741935484,9.199343481563318,0
149,13/2/2016,9.461,1565,8.894200000000001,9.11867741935484,9.225509133406986,0
150,14/2/2016,9.475,1376,8.9036,9.104967741935484,9.250458220066287,0
151,15/2/2016,9.818,1323,8.933333333333334,9.077677419354838,9.307212398059658,0
152,16/2/2016,9.706,1183,8.971266666666667,9.057903225806454,9.347091158253692,0
153,17/2/2016,9.625,1145,9.002799999999999,9.038774193548388,9.374882042428323,0
154,18/2/2016,7.744,3651,9.032733333333335,9.020774193548387,9.211793838185491,0
155,19/2/2016,8.643,2118,9.060799999999999,9.00541935483871,9.154914454366942,0
156,20/2/2016,8.953,1983,9.104800000000001,8.984870967741935,9.13472300893025,0
157,21/2/2016,8.944,1638,9.0884,8.962225806451615,9.115650708037226,0
158,22/2/2016,8.857,1378,9.054400000000003,8.961290322580647,9.089785637233504,0
159,23/2/2016,9.083,1408,8.993666666666666,8.972516129032261,9.089107073510155,0
160,24/2/2016,8.997,1394,8.9486,8.990000000000002,9.079896366159138,0
161,25/2/2016,9.031,1362,8.915,9.017516129032263,9.075006729543224,0
162,26/2/2016,8.988,1566,9.003933333333332,9.057290322580645,9.066306056588902,0
163,27/2/2016,9.247,1745,9.036533333333333,9.095903225806454,9.084375450930011,0
164,28/2/2016,9.215,1268,9.035866666666667,9.133709677419356,9.09743790583701,0
165,29/2/2016,8.965,1342,9.031466666666667,9.138903225806454,9.08419411525331,0
166,01/3/2016,8.907,1312,9.025933333333334,9.142838709677417,9.066474703727978,0
167,02/3/2016,9.03,1250,9.004333333333333,9.139096774193549,9.062827233355181,0
168,03/3/2016,9.121,1280,9.008266666666666,9.125806451612902,9.068644510019663,0
169,04/3/2016,9.078,1623,9.031333333333333,9.132354838709675,9.069580059017698,0
170,05/3/2016,9.132,1792,9.086466666666666,9.195225806451615,9.075822053115928,0
171,06/3/2016,8.943,1596,9.120933333333333,9.226935483870967,9.062539847804334,0
172,07/3/2016,8.878,1277,9.1572,9.249483870967744,9.044085863023902,0
173,08/3/2016,8.774,1234,9.200999999999999,9.27058064516129,9.017077276721512,0
174,09/3/2016,8.759,1282,9.246999999999998,9.291225806451617,8.991269549049361,0
175,10/3/2016,9.056,1028,9.2918,9.297451612903227,8.997742594144425,0
176,11/3/2016,9.377,1262,9.303333333333335,9.30303225806452,9.035668334729982,0
177,12/3/2016,9.815,1321,9.353333333333332,9.311645161290324,9.113601501256984,0
178,13/3/2016,9.764,1242,9.390733333333335,9.322741935483872,9.178641351131285,0
179,14/3/2016,9.759,1033,9.436266666666665,9.33016129032258,9.236677216018156,0
180,15/3/2016,9.622,1015,9.487866666666665,9.346967741935485,9.275209494416341,0
181,16/3/2016,9.597,999,9.5428,9.383774193548385,9.307388544974707,0
182,17/3/2016,9.702,1070,9.592,9.425645161290323,9.346849690477237,0
183,18/3/2016,9.294,1343,9.606666666666666,9.477870967741934,9.341564721429513,0
184,19/3/2016,9.828,1320,9.592866666666668,9.488387096774193,9.390208249286562,0
185,20/3/2016,9.693,1297,9.5584,9.508451612903226,9.420487424357907,0
186,21/3/2016,9.626,1131,9.529599999999999,9.54422580645161,9.441038681922116,0
187,22/3/2016,9.652,1046,9.510799999999998,9.586548387096775,9.462134813729904,0
188,23/3/2016,9.598,1081,9.518400000000002,9.633870967741938,9.475721332356914,0
189,24/3/2016,9.497,1198,9.552333333333335,9.69193548387097,9.477849199121222,0
190,25/3/2016,9.276,1249,9.585866666666668,9.758290322580644,9.4576642792091,0
191,26/3/2016,9.17,1200,9.676199999999998,9.806935483870971,9.42889785128819,0
192,27/3/2016,9.298,1371,9.6508,9.838387096774193,9.415808066159371,0
193,28/3/2016,9.332,1234,9.651266666666666,9.856225806451613,9.407427259543434,0
194,29/3/2016,9.477,1271,9.692266666666667,9.876290322580648,9.41438453358909,0
195,30/3/2016,9.736,1366,9.732466666666665,9.89425806451613,9.44654608023018,0
196,31/3/2016,10.106,1361,9.782266666666667,9.917225806451613,9.512491472207161,0
197,01/4/2016,10.205,1550,9.854066666666666,9.943774193548387,9.581742324986445,0
198,02/4/2016,10.649,1550,9.956733333333334,9.958451612903223,9.6884680924878,0
199,03/4/2016,9.447,1891,10.049666666666667,9.986709677419354,9.66432128323902,0
200,04/4/2016,9.7,1551,10.119933333333332,9.998096774193545,9.66788915491512,0
201,05/4/2016,10.241,1304,10.188999999999998,10.017096774193545,9.725200239423609,0
202,06/4/2016,10.255,1282,10.2496,10.039741935483868,9.77818021548125,0
203,07/4/2016,10.345,1242,10.288266666666665,10.057516129032257,9.834862193933125,0
204,08/4/2016,10.574,1420,10.303466666666669,10.077612903225807,9.908775974539813,0
205,09/4/2016,10.816,1591,10.3178,10.095129032258065,9.999498377085832,0
206,10/4/2016,10.564,1408,10.285,10.115612903225808,10.05594853937725,0
207,11/4/2016,10.352,1217,10.3332,10.142032258064514,10.085553685439525,0
208,12/4/2016,10.368,1236,10.365266666666667,10.167741935483871,10.113798316895572,0
209,13/4/2016,10.386,1088,10.368,10.191225806451612,10.141018485206017,0
210,14/4/2016,10.316,1135,10.372866666666665,10.210806451612902,10.158516636685416,0
211,15/4/2016,10.334,1370,10.3634,10.226354838709677,10.176064973016874,0
212,16/4/2016,10.42,1480,10.339866666666666,10.230161290322581,10.200458475715187,0
213,17/4/2016,10.157,1291,10.288133333333333,10.229096774193549,10.19611262814367,0
214,18/4/2016,10.17,1166,10.2446,10.215709677419355,10.193501365329302,0
215,19/4/2016,10.181,1170,10.220400000000001,10.242290322580644,10.192251228796373,0
216,20/4/2016,10.282,1191,10.202200000000001,10.254,10.201226105916735,0
217,21/4/2016,10.328,1152,10.180466666666668,10.248935483870968,10.213903495325061,0
218,22/4/2016,10.203,1243,10.165,10.242806451612902,10.212813145792556,0
219,23/4/2016,10.221,1326,10.157266666666665,10.230870967741934,10.2136318312133,0
220,24/4/2016,10.04,1247,10.1442,10.20977419354839,10.19626864809197,0
221,25/4/2016,9.911,1135,10.145199999999999,10.18483870967742,10.167741783282771,0
222,26/4/2016,9.989,1071,10.149466666666667,10.169967741935482,10.149867604954496,0
223,27/4/2016,10.095,1021,10.155466666666667,10.15274193548387,10.144380844459047,0
224,28/4/2016,10.06,1337,10.140866666666666,10.129516129032258,10.135942760013142,0
225,29/4/2016,10.084,1564,10.1246,10.11051612903226,10.130748484011828,0
226,30/4/2016,10.218,1697,10.1154,10.080322580645165,10.139473635610647,0
227,01/5/2016,10.224,1524,10.098999999999998,10.048225806451613,10.147926272049583,0
228,02/5/2016,10.172,1332,10.091,9.998774193548389,10.150333644844626,0
229,03/5/2016,10.234,1215,10.0998,9.957129032258065,10.158700280360163,0
230,04/5/2016,10.271,1188,10.1074,9.908516129032257,10.169930252324148,0
231,05/5/2016,10.063,1195,10.088933333333332,9.865225806451612,10.159237227091733,0
232,06/5/2016,10.084,1349,10.061466666666666,9.825225806451611,10.15171350438256,0
233,07/5/2016,10.065,1433,10.042333333333334,9.779419354838707,10.143042153944304,0
234,08/5/2016,9.975,1229,9.986466666666665,9.73441935483871,10.126237938549874,0
235,09/5/2016,9.92,1152,9.927466666666666,9.68367741935484,10.105614144694886,0
236,10/5/2016,10.043,1121,9.841800000000001,9.640290322580645,10.099352730225398,0
237,11/5/2016,10.103,1105,9.7506,9.598129032258063,10.099717457202857,0
238,12/5/2016,9.818,1073,9.643400000000002,9.559258064516127,10.071545711482571,0
239,13/5/2016,9.648,1288,9.5618,9.522129032258064,10.029191140334314,0
240,14/5/2016,9.797,1406,9.492333333333331,9.477258064516128,10.005972026300881,0
241,15/5/2016,9.38,1249,9.415199999999999,9.434709677419352,9.943374823670794,0
242,16/5/2016,9.339,1157,9.337399999999999,9.387935483870965,9.882937341303714,0
243,17/5/2016,8.887,1208,9.2526,9.335709677419354,9.783343607173343,0
244,18/5/2016,8.866,1055,9.162733333333332,9.277193548387094,9.691609246456009,0
245,19/5/2016,8.663,1152,9.062800000000001,9.212096774193547,9.588748321810408,0
246,20/5/2016,8.839,1285,8.993866666666666,9.142580645161289,9.513773489629369,0
247,21/5/2016,9.042,1345,8.946933333333332,9.078290322580644,9.466596140666432,0
248,22/5/2016,8.908,1216,8.871733333333333,9.017161290322584,9.41073652659979,0
